업체,항목,배점,획득점수(미검증 빈칸),증빙·날짜,검토자
이아컴퍼니 / 하백종합건설,주택 완성도·반복 실적,20,,,
이아컴퍼니 / 하백종합건설,배정 소장·전문공종팀,20,,,
이아컴퍼니 / 하백종합건설,방수·단열·배수·토목,20,,,
이아컴퍼니 / 하백종합건설,제주 상주·하자 대응,15,,,
이아컴퍼니 / 하백종합건설,도면 구현·정밀 마감,10,,,
이아컴퍼니 / 하백종합건설,공기·원가 관리,5,,,
이아컴퍼니 / 하백종합건설,동일 범위 견적 경쟁력,10,,,
이아컴퍼니 / 하백종합건설,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
이아컴퍼니 / 하백종합건설,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
이아컴퍼니 / 하백종합건설,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
이아컴퍼니 / 하백종합건설,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
지에이유아키팩토리,주택 완성도·반복 실적,20,,,
지에이유아키팩토리,배정 소장·전문공종팀,20,,,
지에이유아키팩토리,방수·단열·배수·토목,20,,,
지에이유아키팩토리,제주 상주·하자 대응,15,,,
지에이유아키팩토리,도면 구현·정밀 마감,10,,,
지에이유아키팩토리,공기·원가 관리,5,,,
지에이유아키팩토리,동일 범위 견적 경쟁력,10,,,
지에이유아키팩토리,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
지에이유아키팩토리,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
지에이유아키팩토리,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
지에이유아키팩토리,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
제주패시브하우스 · JEJUPH,주택 완성도·반복 실적,20,,,
제주패시브하우스 · JEJUPH,배정 소장·전문공종팀,20,,,
제주패시브하우스 · JEJUPH,방수·단열·배수·토목,20,,,
제주패시브하우스 · JEJUPH,제주 상주·하자 대응,15,,,
제주패시브하우스 · JEJUPH,도면 구현·정밀 마감,10,,,
제주패시브하우스 · JEJUPH,공기·원가 관리,5,,,
제주패시브하우스 · JEJUPH,동일 범위 견적 경쟁력,10,,,
제주패시브하우스 · JEJUPH,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
제주패시브하우스 · JEJUPH,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
제주패시브하우스 · JEJUPH,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
제주패시브하우스 · JEJUPH,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
오름건설(주) · 박준석,주택 완성도·반복 실적,20,,,
오름건설(주) · 박준석,배정 소장·전문공종팀,20,,,
오름건설(주) · 박준석,방수·단열·배수·토목,20,,,
오름건설(주) · 박준석,제주 상주·하자 대응,15,,,
오름건설(주) · 박준석,도면 구현·정밀 마감,10,,,
오름건설(주) · 박준석,공기·원가 관리,5,,,
오름건설(주) · 박준석,동일 범위 견적 경쟁력,10,,,
오름건설(주) · 박준석,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
오름건설(주) · 박준석,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
오름건설(주) · 박준석,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
오름건설(주) · 박준석,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
이음건설,주택 완성도·반복 실적,20,,,
이음건설,배정 소장·전문공종팀,20,,,
이음건설,방수·단열·배수·토목,20,,,
이음건설,제주 상주·하자 대응,15,,,
이음건설,도면 구현·정밀 마감,10,,,
이음건설,공기·원가 관리,5,,,
이음건설,동일 범위 견적 경쟁력,10,,,
이음건설,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
이음건설,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
이음건설,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
이음건설,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
(주)포엠 · 김형직,주택 완성도·반복 실적,20,,,
(주)포엠 · 김형직,배정 소장·전문공종팀,20,,,
(주)포엠 · 김형직,방수·단열·배수·토목,20,,,
(주)포엠 · 김형직,제주 상주·하자 대응,15,,,
(주)포엠 · 김형직,도면 구현·정밀 마감,10,,,
(주)포엠 · 김형직,공기·원가 관리,5,,,
(주)포엠 · 김형직,동일 범위 견적 경쟁력,10,,,
(주)포엠 · 김형직,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
(주)포엠 · 김형직,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
(주)포엠 · 김형직,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
(주)포엠 · 김형직,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
시스홈종합건설,주택 완성도·반복 실적,20,,,
시스홈종합건설,배정 소장·전문공종팀,20,,,
시스홈종합건설,방수·단열·배수·토목,20,,,
시스홈종합건설,제주 상주·하자 대응,15,,,
시스홈종합건설,도면 구현·정밀 마감,10,,,
시스홈종합건설,공기·원가 관리,5,,,
시스홈종합건설,동일 범위 견적 경쟁력,10,,,
시스홈종합건설,필수 통과: 계약 법인·등록·보증,점수와 별도,미확인,,
시스홈종합건설,필수 통과: 배정 소장·동시 현장,점수와 별도,미확인,,
시스홈종합건설,필수 통과: 유사 실적·건축주 확인,점수와 별도,미확인,,
시스홈종합건설,필수 통과: 설계자 승인·변경관리,점수와 별도,미확인,,
브라운트리종합건설 + JD홈플랜,주택 완성도·반복 실적,20,,,
