공종,항목,확인 범위,업체A 금액,업체A 포함/제외/잠정,업체B 금액,업체B 포함/제외/잠정,업체C 금액,업체C 포함/제외/잠정,지인소개 금액,지인소개 포함/제외/잠정,근거·회신
공통,도서 버전·견적 유효기간,동일 도서와 공통 질의회신,,,,,,,,,
공통,부가세·간접비·현장관리비,포함 여부·산출 기준,,,,,,,,,
공통,계약 법인·등록·보증,수급인·통장·보증 명의,,,,,,,,,
토공,철거·굴착·암반·반출,물량·단가·정산 조건,,,,,,,,,
토공,성토·다짐·시험,종류·횟수·재시험 비용,,,,,,,,,
외부,옹벽·배면배수·자연석,구조체와 마감 물량 분리,,,,,,,,,
외부,트렌치·집수정·최종 우수처리,승인도서 기준 관경·길이·레벨,,,,,,,,,
골조,기초·RC·다락·지붕 구조,구조도·물량·콘크리트 시험·양생,,,,,,,,,
골조,슬리브·관통부·매립철물,타설 전 통합 검토,,,,,,,,,
외피,지붕 바탕·금속 마감·철물,제품·강풍·결로·부식 대응,,,,,,,,,
외피,자연낙수 받이·물끊기·배수,지붕과 외부공사 사이 누락 방지,,,,,,,,,
외피,외단열·석재·앵커·기단,줄눈·방수·열교 상세,,,,,,,,,
창호,프레임·유리·앵커·설치 방수,일람표별 규격·성능·보증·검사,,,,,,,,,
방수,테라스·욕실·창호 하부,층 구성·물량·시험·책임,,,,,,,,,
마감,비내력벽·천장·차음·보강,"공용부 최종 CH 3,200 요청 반영",,,,,,,,,
마감,바닥·도장·문·타일·몰딩,제품명 또는 잠정금액·견본,,,,,,,,,
가구,주방·붙박이·상판·욕실가구,건축주 별도 발주와 구분,,,,,,,,,
설비,냉난방·환기·급배수·제습,설비검토 후 모델 확정·시운전,,,,,,,,,
전기,조명·전력·통신·외부전기,기구 공급·배선·설치 범위,,,,,,,,,
외부,난간·포장·계단·대문·조경,염해·고정·마감·토목 경계,,,,,,,,,
기타,인입·검사·사용승인 지원,부담금·대관 비용 포함 여부,,,,,,,,,
기타,보양·청소·준공도서,시운전·사용법·시험 결과 인계,,,,,,,,,
관리,소장·공정표·보고·변경관리,상주·동시 현장·주간보고,,,,,,,,,
관리,하자보증·긴급출동·점검,금액·기간·면책·응답기한 합의,,,,,,,,,
총괄,제외공사·잠정금액·변경단가,누락과 별도공사 합산 비교,,,,,,,,,
